"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Navigate","Go to Line","⌃X G","Editing Text"
"Edit","Content Assist","⌃R","In Dialogs and Windows"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Refactor - C++","Toggle Function - Refactoring ","⌥⌘T","C/C++ Editor"
"C/C++ Source","Declaration","⌘G","C/C++ Editor"
"Search","Open Search Dialog","⌃H","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Makefile Source","Comment","⌃/","Makefile Editor"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Reverse Debugging Commands","Reverse Resume","⇧F8","Debugging C/C++"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Text Editing","Line Start","⌃A","Editing Text"
"Text Editing","Text End","Esc >","Editing Text"
"C/C++ Source","Add Block Comment","⇧⌘/","C/C++ Editor"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Text Editing","Next Word","Esc F","Editing Text"
"File","Print","⌘P","In Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Text Editing","Scroll Line Up","⌥Z","Editing Text"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Source","Organize Imports","⇧⌘O","In Windows"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","In C/C++ Views"
"Text Editing","Text End","⌥>","Editing Text"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Text Editing","Text Start","⌃X [","Editing Text"
"Navigate","Next","⌘.","In Windows"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Text Editing","Text End","Esc ⇧>","Editing Text"
"Window","Activate Editor","⌘F12","In Windows"
"C/C++ Source","Go to Previous Member","⇧⌘↑","C/C++ Editor"
"Edit","Find and Replace","⌥R","In Windows"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Makefile Source","Uncomment","⌃\","Makefile Editor"
"File","Close All","⇧⌘W","In Windows"
"Run/Debug","Terminate","⌘F2","Debugging"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Edit","Find Next","⌘K","Editing Text"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Text Editing","Delete Line","⌘D","Editing Text"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"File","Refresh","F5","In Windows"
"Text Editing","Line End","⌘→","Editing Text"
"Navigate","Open Type","⇧⌘T","In Windows"
"File","Close","⌃X K","In Windows"
"Uncategorized","Copy","⌘C","In Git Reflog View"
"Edit","Select Next Element","⇧⌃→","Editing Java Source"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Refactor - C++","Extract Function - Refactoring ","⌥⌘M","C/C++ Editor"
